codigo,localidad,url_xml
id15007,"Baña, A",http://www.aemet.es/xml/municipios/localidad_15007.xml
id22036,Argavieso,http://www.aemet.es/xml/municipios/localidad_22036.xml
id44060,"Cañada de Benatanduz",http://www.aemet.es/xml/municipios/localidad_44060.xml
id16072,"Castillo de Garcimuñoz",http://www.aemet.es/xml/municipios/localidad_16072.xml
id19002,Ablanque,http://www.aemet.es/xml/municipios/localidad_19002.xml
id19129,"Gascueña de Bornova",http://www.aemet.es/xml/municipios/localidad_19129.xml
id47224,"Villarmentero de Esgueva",http://www.aemet.es/xml/municipios/localidad_47224.xml
id24131,"Riego de la Vega",http://www.aemet.es/xml/municipios/localidad_24131.xml
id06021,"Bodonal de la Sierra",http://www.aemet.es/xml/municipios/localidad_06021.xml
id08296,Vallromanes,http://www.aemet.es/xml/municipios/localidad_08296.xml
id10001,"Abadía",http://www.aemet.es/xml/municipios/localidad_10001.xml
id09429,"Villaescusa la Sombría",http://www.aemet.es/xml/municipios/localidad_09429.xml
id13001,"Abenójar",http://www.aemet.es/xml/municipios/localidad_13001.xml
id47157,"Sardón de Duero",http://www.aemet.es/xml/municipios/localidad_47157.xml
id28062,"Garganta de los Montes",http://www.aemet.es/xml/municipios/localidad_28062.xml
id24105,Onzonilla,http://www.aemet.es/xml/municipios/localidad_24105.xml
id26001,"Ábalos",http://www.aemet.es/xml/municipios/localidad_26001.xml
id10140,"Peraleda de la Mata",http://www.aemet.es/xml/municipios/localidad_10140.xml
id48001,"Abadiño",http://www.aemet.es/xml/municipios/localidad_48001.xml
id04001,Abla,http://www.aemet.es/xml/municipios/localidad_04001.xml
id19218,"Pinilla de Jadraque",http://www.aemet.es/xml/municipios/localidad_19218.xml
id47103,"Olivares de Duero",http://www.aemet.es/xml/municipios/localidad_47103.xml
id20055,"Arrasate/Mondragón",http://www.aemet.es/xml/municipios/localidad_20055.xml
id49275,Zamora,http://www.aemet.es/xml/municipios/localidad_49275.xml
id22207,"San Juan de Plan",http://www.aemet.es/xml/municipios/localidad_22207.xml
id06026,"Calera de León",http://www.aemet.es/xml/municipios/localidad_06026.xml
id06119,"San Pedro de Mérida",http://www.aemet.es/xml/municipios/localidad_06119.xml
id05904,"Santiago del Tormes",http://www.aemet.es/xml/municipios/localidad_05904.xml
id49152,Pereruela,http://www.aemet.es/xml/municipios/localidad_49152.xml
id08904,"Badia del Vallès",http://www.aemet.es/xml/municipios/localidad_08904.xml
id37278,"San Cristóbal de la Cuesta",http://www.aemet.es/xml/municipios/localidad_37278.xml
id10005,Aceituna,http://www.aemet.es/xml/municipios/localidad_10005.xml
id25194,"Sant Ramon",http://www.aemet.es/xml/municipios/localidad_25194.xml
id14001,Adamuz,http://www.aemet.es/xml/municipios/localidad_14001.xml
id22002,Abizanda,http://www.aemet.es/xml/municipios/localidad_22002.xml
id47001,Adalia,http://www.aemet.es/xml/municipios/localidad_47001.xml
id05001,Adanero,http://www.aemet.es/xml/municipios/localidad_05001.xml
id15030,"Coruña, A",http://www.aemet.es/xml/municipios/localidad_15030.xml
id37100,"Cerezal de Peñahorcada",http://www.aemet.es/xml/municipios/localidad_37100.xml
id45135,"Puebla de Almoradiel, La",http://www.aemet.es/xml/municipios/localidad_45135.xml
id24001,Acebedo,http://www.aemet.es/xml/municipios/localidad_24001.xml
id10003,Acebo,http://www.aemet.es/xml/municipios/localidad_10003.xml
id06062,"Helechosa de los Montes",http://www.aemet.es/xml/municipios/localidad_06062.xml
id15069,Pontedeume,http://www.aemet.es/xml/municipios/localidad_15069.xml
id24114,"Pola de Gordón, La",http://www.aemet.es/xml/municipios/localidad_24114.xml
id50901,Biel,http://www.aemet.es/xml/municipios/localidad_50901.xml
